Column Index,Tread Depth (mm)
699,7.640812
700,7.985672
701,7.985672
702,7.985672
703,8.33192
704,8.33192
705,8.33192
706,8.33192
707,8.33192
708,8.33192
709,8.33192
710,8.33192
711,8.33192
712,8.33192
713,8.33192
714,8.33192
715,8.33192
716,8.33192
717,8.33192
718,7.985672
719,7.985672
720,7.985672
721,5.476799
722,5.476799
723,5.476799
724,5.075199
725,5.075199
726,5.075199
727,5.075199
728,5.075199
729,4.6751995
730,4.6751995
731,4.2768
732,3.8799992
733,3.8799992
734,1.1471996
735,1.5327988
736,1.1471996
737,0.76319885
738,0.38080025
739,0.38080025
740,0.38080025
741,0.38080025
742,0.38080025
743,0.76319885
744,0.76319885
745,0.76319885
746,0.76319885
747,0.76319885
748,0.76319885
749,0.76319885
750,0.76319885
751,0.76319885
752,0.38080025
753,0.38080025
754,0.38080025
755,0.38080025
756,0.38080025
757,0.38080025
758,0.38080025
759,0.38080025
760,0.38080025
761,0.38080025
762,0.38080025
763,0.76319885
764,0.76319885
765,1.1471996
766,1.1471996
767,0.76319885
768,0.76319885
769,0.38080025
770,0.38080025
771,0.38080025
772,0.38080025
773,0.38080025
774,0.38080025
775,0.38080025
776,0.38080025
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.38080025
788,0.0
789,0.38080025
790,0.38080025
791,0.0
792,0.0
793,0.0
794,0.0
795,0.38080025
796,0.38080025
797,0.38080025
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,1.1471996
872,1.5327988
873,1.9200001
874,1.9200001
875,1.9200001
876,1.9200001
877,1.5327988
878,1.5327988
879,1.1471996
880,1.1471996
881,0.76319885
882,0.76319885
883,0.38080025
884,0.38080025
885,0.38080025
886,0.38080025
887,0.38080025
888,0.38080025
889,0.38080025
890,0.38080025
891,0.38080025
892,0.38080025
893,0.38080025
894,0.38080025
895,0.38080025
896,0.38080025
897,0.38080025
898,0.38080025
899,0.38080025
900,0.38080025
901,0.38080025
902,0.38080025
903,0.38080025
904,0.38080025
905,0.38080025
906,0.38080025
907,0.38080025
908,0.38080025
909,0.38080025
910,0.38080025
911,0.38080025
912,0.38080025
913,0.38080025
914,0.38080025
915,0.38080025
916,0.38080025
917,0.38080025
918,0.38080025
919,0.38080025
920,0.38080025
921,0.38080025
922,0.38080025
923,0.38080025
924,0.38080025
925,0.38080025
926,0.38080025
927,0.38080025
928,0.38080025
929,0.38080025
930,0.38080025
931,0.38080025
932,0.38080025
933,0.38080025
934,0.38080025
935,0.38080025
936,0.38080025
937,0.38080025
938,0.38080025
939,0.38080025
940,0.38080025
941,4.6751995
942,4.6751995
943,4.6751995
944,5.075199
945,5.075199
946,5.075199
947,5.075199
948,5.075199
949,5.075199
950,5.476799
951,5.476799
952,5.476799
953,5.476799
954,5.476799
955,5.075199
956,5.075199
957,5.075199
958,5.075199
959,5.075199
960,5.075199
961,4.6751995
962,4.6751995
963,4.6751995
964,4.6751995
965,4.6751995
966,4.6751995
967,4.6751995
968,4.6751995
969,4.6751995
970,4.6751995
971,4.6751995
972,4.6751995
973,4.2768
974,4.2768
975,4.2768
976,4.2768
977,3.8799992
978,4.2768
979,4.2768
980,3.8799992
981,3.8799992
982,4.2768
983,4.2768
984,4.2768
985,4.2768
986,4.2768
987,4.2768
988,4.2768
989,4.2768
990,4.2768
991,4.2768
992,4.2768
993,4.6751995
994,4.2768
995,4.2768
996,4.6751995
997,4.6751995
998,4.6751995
999,4.6751995
1000,4.6751995
1001,4.6751995
1002,5.075199
1003,5.075199
1004,5.075199
1005,5.075199
1006,5.075199
1007,5.476799
1008,5.476799
1009,5.476799
1010,5.476799
1011,5.476799
1012,5.476799
1013,5.476799
1014,5.476799
1015,5.476799
1016,5.476799
1017,5.476799
1018,5.476799
1019,5.476799
1020,5.476799
1021,5.476799
1022,5.476799
1023,5.476799
